Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Welcome,27Dec2007,3.32,16.52,33.41,70.15
Traffic Signal,02Feb2007,1.04,3.52,5.45,8.48
The Train,08Jun2007,0.96,3.08,4.37,5.11
Taare Zameen Par,21Dec2007,2.62,9.65,16.57,61.83
Ta Ra Rum Pum,27Apr2007,3.66,11.42,18.05,38.45
Shootout At Lokhandwala,25May2007,3.46,10.68,16.72,29.73
Shakalaka Boom Boom,04Jun2007,1.29,4.04,5.68,6.78
Salaam-E-Ishq,26Jan2007,4.19,11.15,16.26,22.68
Saawariya,11Sep2007,3,11.23,16.86,20.92
Risk,19Jan2007,0.55,1.78,2.45,2.83
Red,03Sep2007,0.75,2.36,3.37,3.92
Ram Gopal Varma Ki Aag,31Aug2007,1.72,4.96,6.98,7.39
Provoked,06Apr2007,0.28,0.9,1.45,2.41
Om Shanti Om,09Nov2007,5.53,21.47,36.38,78.17
Nishabd,02Mar2007,1.15,3.73,5.46,7.53
Nehlle Pe Dehlla,02Mar2007,0.67,1.95,2.76,3.29
Naqaab,13Jul2007,2.31,7.1,10.26,12.69
Namastey London,23Mar2007,2.83,9.04,15.69,37.29
Life In A… Metro,11May2007,0.87,3.52,6.23,15.83
Laaga Chunari Mein Daag,12Oct2007,2.02,7.36,11.17,17.51
Kya Love Story Hai,20Apr2007,0.6,1.89,2.59,2.9
Just Married,16Mar2007,0N.A,0N.A,3.24,4.17
Johnny Gaddaar,28Sep2007,0.54,1.87,2.83,4.05
Jhoom Barabar Jhoom,15Jun2007,4.47,13.93,20.53,27.27
Jab We Met,26Oct2007,1.75,6.82,11.8,31.06
Honeymoon Travels Pvt Ltd.,23Feb2007,1.17,3.84,6.09,11.62
Heyy Babyy,24Aug2007,4.77,15.17,0N.A,24.48
Hattrick,16Mar2007,0.93,2.91,4.03,4.81
Guru,12Jan2007,3.37,11.14,18.7,45.49
Good Boy Bad Boy,05Nov2007,0.97,3.24,4.81,7.25
Gandhi My Father,03Aug2007,0.46,1.58,2.37,3.42
Fool n Final,01Jun2007,2.63,8.19,12.47,17.82
Eklavya – The Royal Guard,16Feb2007,3.19,9.65,13.97,18.88
Dus Kahaniyaan,07Dec2007,1.2,4.02,5.98,7.78
Dhol,21Sep2007,1.72,5.56,8.96,16.06
Dhan Dhana Dhan Goal,23Nov2007,2.05,6.43,9.55,13.87
Dhamaal,07Sep2007,2.38,8,13.65,32.51
Darling,07Sep2007,0.58,1.77,2.5,2.91
Cheeni Kum,25May2007,1,3.97,6.75,17.3
Chak De India,10Aug2007,3.07,11.53,21.53,66.54
Cash,03Aug2007,3.73,11.08,15.9,18.57
Buddha Mar Gaya,17Aug2007,0.62,1.94,2.73,2.95
Black Friday,09Feb2007,0.47,1.78,2.88,4.76
Big Brother,13Apr2007,0.82,2.42,3.5,4.94
Bhool Bhulaiyaa,12Oct2007,3.88,14.37,23.5,49.1
Bheja Fry,13Apr2007,0.27,1.22,2.41,8.98
Awarapan,29Jun2007,0.79,2.88,4.47,7.76
Apne,29Jun2007,1.89,6.22,10.34,22.07
Aap Ka Surroor – The Moviee,29Jun2007,1.79,5.25,8.04,12.43
Aaja Nachle,30Nov2007,1.85,6.16,9.03,14.07
