actorId,actorName,movieCount,NormalizedMovieRank,PeakSearchHits(GoogleHits/Month),NormalizedRating
373,Aamir Khan,11,9.448619843,2460000,10
374,Shah Rukh Khan,23,7.550089836,2670000,9.226739883
375,Salman Khan,36,5.402170181,3490000,9.208209991
376,Katrina Kaif,17,8.480819702,2120000,8.948519707
377,Deepika Padukone,16,5.64673996,3000000,8.627160072
378,Hrithik Roshan,16,5.891300201,2650000,8.251939774
379,Priyanka Chopra,36,4.451089859,3130000,8.136859894
380,Kareena Kapoor,37,4.860159874,2940000,8.090649605
381,Ranbir Kapoor,11,6.958499908,1860000,7.69863987
382,Kajol,6,6.380430222,1780000,7.251560211
383,John Abraham,27,4.007249832,2610000,7.119349957
384,Amitabh Bachchan,48,3.40489006,2770000,7.011300087
385,Sonakshi Sinha,8,7.97010994,960000,6.951920033
386,Alia Bhatt,4,7.358699799,1190000,6.941619873
387,Ajay Devgn,49,3.67524004,2570000,6.871319771
388,Asin,5,10,35900,6.750120163
389,Farhan Akhtar,6,5.076089859,1860000,6.625790119
390,Arjun Kapoor,5,5.304349899,1690000,6.50593996
391,Akshay Kumar,54,4.387680054,1960000,6.380479813
392,Anushka Sharma,7,6.031060219,1320000,6.376100063
393,Vidya Balan,16,5.402170181,1340000,6.047090054
394,Aishwarya Rai Bachchan,16,3.8125,1930000,6.008560181
395,Ranveer Singh,5,5.891300201,1120000,6.002399921
396,Vir Das,8,2.83423996,2270000,5.950920105
397,Shahid Kapoor,23,3.722120047,1800000,5.765910149
398,Saif Ali Khan,26,3.746659994,1760000,5.721079826
399,Anil Kapoor,19,3.110980034,1930000,5.608749866
400,Prakash Raj,7,4.49379015,1350000,5.544079781
401,Sonam Kapoor,9,4.369569778,1360000,5.487979889
402,Sanjay Kapoor,8,2.46739006,2080000,5.462490082
403,Jacqueline Fernandez,4,8.826089859,0,5.460309982
404,Abhishek Bachchan,34,4.136189938,1260000,5.207940102
405,Imran Khan,12,4.586959839,1020000,5.111979961
406,Rekha,9,3.391299963,1480000,5.106880188
407,Tabu,16,3.32336998,1480000,5.068160057
408,Madhavan,12,4.179349899,1140000,5.056109905
409,Sanjay Dutt,43,3.002019882,1560000,5.002639771
410,Parineeti Chopra,5,5.108699799,737000,4.99323988
411,Madhuri Dixit,7,3.375780106,1300000,4.833380222
412,Preity Zinta,16,4.423910141,877000,4.808810234
413,Govinda,17,2.956520081,1430000,4.785570145
414,Emraan Hashmi,26,4.311039925,861000,4.720950127
415,Bipasha Basu,34,3.560739994,1050000,4.571219921
416,Uday Chopra,7,5.332300186,311000,4.494339943
417,Aditya Roy Kapoor,4,7.11413002,0,4.484620094
418,Ritesh Deshmukh,20,5.255430222,312000,4.452000141
419,Rishi Kapoor,19,3.574369907,934000,4.408430099
420,Kangana Ranaut,18,3.663039923,867000,4.360459805
421,Dia Mirza,15,1.652169943,1640000,4.350940228
422,Amrish Puri,11,5.535570145,125000,4.336709976
423,Amrita Rao,12,4.34239006,510000,4.222750187
424,Lara Dutta,17,3.704600096,737000,4.193009853
425,Om Puri,32,2.40625,1230000,4.177889824
426,Kiron Kher,10,5.402170181,25100,4.113800049
427,Mallika Sherawat,12,3.690220118,669000,4.084829807
428,Sonu Sood,6,3.28260994,824000,4.080420017
429,Nana Patekar,14,4.913040161,173000,4.052490234
430,Vinod Khanna,9,4.695650101,243000,4.031509876
431,Kalki Koechlin,6,4.26086998,380000,3.985150099
432,Rani Mukerji,27,4.152170181,386000,3.932019949
433,Rajkummar Rao,4,6.13586998,0,3.927079916
434,Tusshar Kapoor,19,4.552629948,165000,3.835319996
435,Arjun Rampal,24,3.690220118,476000,3.801059961
436,Paresh Rawal,30,4.456520081,176000,3.796720028
437,Supriya Pathak,5,5.891300201,0,3.787699938
438,Nawazuddin Siddiqui,5,5.891300201,0,3.787699938
439,Naseeruddin Shah,19,4.243710041,240000,3.769530058
440,Randeep Hooda,14,3.934779882,339000,3.739020109
441,Jaya Bhaduri,6,4.586959839,70400,3.715790033
442,Karisma Kapoor,6,1.48913002,1260000,3.699310064
443,Sharman Joshi,15,4.391300201,129000,3.690439939
444,Boman Irani,19,3.574369907,416000,3.646820068
445,Satish Shah,11,3.579050064,385000,3.603909969
446,Arshad Warsi,22,3.934779882,217000,3.559639931
447,Raj Babbar,12,3.85326004,239000,3.545530081
448,Shilpa Shetty,9,1.97826004,960000,3.536989927
449,Vivek Oberoi,18,3.065220118,504000,3.486030102
450,Anupam Kher,36,2.60326004,657000,3.447700024
451,Sameera Reddy,6,3.28260994,370000,3.412909985
452,Sunny Deol,25,2.408699989,687000,3.380919933
453,Shraddha Kapoor,4,5.15760994,0,3.369539976
454,Akshaye Khanna,14,3.864909887,110000,3.362499952
455,Manish Chaudhary,6,5.076089859,0,3.323080063
456,Sunil Shetty,42,2.607140064,560000,3.307290077
457,Sohail Khan,13,2.053509951,764000,3.291699886
458,Esha Deol,11,2.600790024,539000,3.272799969
459,Pavan Malhotra,4,4.913040161,0,3.230159998
460,Sonali Kulkarni,8,3.201090097,249000,3.188539982
461,Rimi Sen,8,3.201090097,247000,3.185600042
462,Sushmita Sen,15,2.434779882,534000,3.170830011
463,Gracy Singh,9,3.28260994,204000,3.168839931
464,Kunal Khemu,8,3.567929983,85100,3.156640053
465,Juhi Chawla,13,2.505019903,485000,3.138819933
466,Vinay Pathak,13,3.483279943,96200,3.124710083
467,Dharmendra,8,2.46739006,473000,3.099730015
468,Mohammed Zeeshan Ayyub,4,4.668479919,0,3.090770006
469,Ranvir Shorey,14,3.445650101,68800,3.062979937
470,Genelia D'Souza,6,4.586959839,0,3.044310093
471,Isha Koppikar,10,2.956520081,234000,3.027100086
472,Soha Ali Khan,6,1.815219998,667000,3.013269901
473,Johnny Lever,7,1.97826004,584000,2.984159946
474,Ayesha Takia,16,1.97826004,570000,2.963579893
475,Tia Bajpai,4,4.423910141,0,2.951390028
