directorId,directorName,movieCount,NormalizedMovieRank,PeakSearchHits(GoogleHits/Month),NormalizedRating
1,Rajkumar Hirani,3,10,146000,10
2,Farah Khan,4,7.394740105,1060000,8.784729958
3,Karan Johar,5,5.689469814,1050000,7.104599953
4,Sajid Khan,4,5.796050072,905000,6.997799873
5,Rohit Shetty,10,6.328949928,437000,6.837609768
6,Kabir Khan,3,5.973680019,666000,6.823679924
7,Anil Sharma,6,4.197370052,1110000,5.734469891
8,Farhan Akhtar,4,4.730259895,742000,5.7197299
9,Siddharth Anand,5,5.263160229,312000,5.61480999
10,Anees Bazmee,7,5.669169903,34400,5.607619762
11,Prabhudheva,4,5.440790176,153000,5.557050228
12,Shaad Ali,3,5.263160229,68900,5.261229992
13,Anurag Basu,8,4.108550072,755000,5.131390095
14,Mohit Suri,8,4.552629948,319000,4.930990219
15,Sanjay Leela Bhansali,5,3.842109919,790000,4.922049999
16,Imtiaz Ali,5,3.415790081,1050000,4.883810043
17,Mani Ratnam,3,3.605259895,921000,4.881249905
18,David Dhawan,11,3.906699896,622000,4.74078989
19,Aanand Rai,3,4.789470196,20700,4.728459835
20,Ashwani Dhir,3,4.789470196,5100,4.705770016
21,Raj Kumar Gupta,3,2.894740105,1210000,4.607590199
22,Rakeysh Omprakash Mehra,4,4.552629948,29900,4.510509968
23,Sanjay Gadhvi,6,4.434209824,16600,4.375500202
24,Indra Kumar,7,3.842109919,239000,4.120639801
25,Kunal Deshmukh,4,4.019740105,107000,4.102149963
26,Kunal Kohli,5,3.984210014,112000,4.074729919
27,Abhishek Kapoor,3,3.368419886,500000,4.037590027
28,N. Chandra,3,2.421050072,1010000,3.854039907
29,Priyadarshan,19,3.505539894,277000,3.84717989
30,Shoojit Sircar,3,3.842109919,27800,3.813460112
31,Ashutosh Gowariker,5,3.131580114,460000,3.748080015
32,Ram Gopal Varma,17,2.421050072,934000,3.743499994
33,Vishal Bhardwaj,5,2.563159943,769000,3.642309904
34,Abbas Alibhai Burmawalla,10,3.700000048,4700,3.641060114
35,Mastan Alibhai Burmawalla,10,3.700000048,3890,3.639889956
36,Milan Luthria,7,3.537590027,105000,3.628319979
37,Prakash Jha,7,3.334589958,227000,3.607480049
38,Sanjay Gupta,5,2.136840105,937000,3.470269918
39,Zoya Akhtar,3,3.368419886,98600,3.453769922
40,Madhur Bhandarkar,10,3.060529947,185000,3.278709888
41,Vipul Amrutlal Shah,5,3.273679972,7700,3.229029894
42,Pooja Bhatt,3,2.421050072,487000,3.093359947
