ï..Movie.Name,Release.Date,Opening.Day,Opening.Weekend,End.of.Week.1,Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.
Gadar – Ek Prem Katha,15-Jun-01,1.4,4.08,9.28,76.88
Kabhi Khushi Kabhie Gham,14-Dec-01,2.38,7,14.38,55.65
Lagaan: Once Upon a Time in India,15-Jun-01,1,3.14,6.63,34.31
Indian,26-Oct-01,1.8,5.16,9.08,24.22
Dil Chahta Hai,10-Aug-01,0.9,2.77,5.73,20.02
Jodi No.1,13-Apr-01,1.15,3.41,6.57,18.9
Chori Chori Chupke Chupke,09-Mar-01,1.14,3.48,6.5,18.35
Ek Rishtaa – The Bond of Love,18-May-01,1.31,3.84,7.12,17.78
Mujhe Kucch Kehna Hai,25-May-01,0.81,2.46,5.11,17.28
Ajnabee,22-Sep-01,1.65,4.78,8.07,17.04
Lajja,31-Aug-01,1.34,3.92,7.16,15.87
Yaadein,27-Jun-01,1.59,4.59,8.21,14.65
Asoka,26-Oct-01,1,2.87,5.27,11.54
Farz,12-Jan-01,1.07,3.08,5.43,11.27
Nayak,07-Sep-01,0.85,2.6,4.81,10.75
Albela,20-Apr-01,0.76,2.34,4.35,10.53
Aashiq,26-Jan-01,0.9,2.39,4.37,10.34
Aks,13-Jul-01,1,2.97,5.15,8
Kyonkii Main Jhuth Nahi bolta,21-Sep-01,0.64,1.9,3.55,7.95
Yeh Raaste Hai Pyaar Ke,10-Aug-01,0.83,2.44,4.26,7.76
Pyaar Tune Kya Kiya,27-Apr-01,0.48,1.47,2.74,6.83
One 2 Ka 4,30-Mar-01,0.77,2.14,3.71,6.64
Aamdani Athanni Kharcha Rupaiya,21-Dec-01,0.46,1.41,2.6,6.12
Love Ke Liye Kuch Bhi Karega,29-Jun-01,0.57,1.67,2.9,5.57
Rehnaa Hai Terre Dil Mein,18-Oct-01,0.41,1.32,2.25,5.52
Chuppa Rustam,23-Mar-01,0.27,0.75,1.58,5.42
Style,28-Dec-01,0.29,0.97,1.81,5.36
Kasoor,02-Feb-01,0.23,0.83,1.63,5.31
Deewaanapan,16-Nov-01,0.48,1.38,2.39,5.1
Kuch Khatti Kuch Meethi,19-Jan-01,0.35,1.1,2.05,5.04
Tum Bin,13-Jul-01,0.15,0.56,1.21,4.43
Chandni Bar,28-Sep-01,0.16,0.63,1.14,4.09
Yeh Teraa Ghar Yeh Meraa Ghar,12-Oct-01,0.54,1.59,2.6,3.87
Officer,14-Mar-01,0.43,1.21,2.08,3.71
Zubeidaa,01-Jan-01,0.19,0.64,1.21,3.48
Pyaar Ishq Aur Mohabbat,03-Aug-01,0.56,1.52,2.41,3.32
Tera Mera Saath Rahen,16-Nov-01,0.43,1.21,1.96,3.04
Hum Ho Gaye Aapke,13-Aug-01,0.35,1.03,1.72,2.89
Bas Itna Sa Khwaab Hai,06-Jul-01,0.42,1.14,1.8,2.73
Abhay,16-Nov-01,0.28,0.78,1.28,2.02
Ittefaq,14-Sep-01,0.36,0.93,1.46,1.92
Kasam,12-Oct-01,0.19,0.51,0.79,1.29
Bawandar,08-Dec-01,0.1,0.32,0.56,1.05
Paagalpan,08-Jun-01,0N.A,0N.A,0.67,1.03
Avgat,01-Jun-01,0N.A,0N.A,0.6,1
Khatron Ke Khiladi,04-May-01,0.13,0.34,0.53,0.99
Rahul,06-Apr-01,0.08,0.27,0.48,0.98
Ehsaas – A Feeling,30-Nov-01,0.17,0.46,0.7,0.97
Zahreela,02-Mar-01,0.13,0.35,0.53,0.87
Vatsyayana Kamasutra,09-Mar-01,0N.A,0N.A,0.45,0.85
Saathiya,20-Dec-02,0.53,1.79,3.78,15.26
Kaante,20-Dec-02,2.04,5.87,10.38,20.45
Karz-The Burden of Truth,06-Dec-02,1.26,3.57,5.57,8.7
Waah! Tera Kya Kehna,01-Nov-02,0.25,0.71,1.09,1.8
Annarth,01-Nov-02,0.39,1.13,1.83,3
Jeena Sirf Merre Liye,01-Nov-02,0.66,1.92,3.36,6.5
Deewangee,25-Oct-02,0.68,2.05,3.87,11.44
Dil Vil Pyar Vyar,18-Oct-02,0.32,1,1.58,2.37
Hathyar,18-Oct-02,0.77,2.12,3.29,5.35
Yeh Kya Ho Raha Hai?,11-Oct-02,0.51,1.4,2.11,2.91
Road,27-Sep-02,0.88,2.59,4.3,7.57
Gunaah,20-Sep-02,0.59,1.71,2.71,4.49
Shakti – The Power,20-Sep-02,0.98,2.82,4.62,8.48
Ek Chhotisi Love Story,06-Sep-02,0.35,0.98,1.73,4.84
Dil Hai Tumhaara,06-Sep-02,0.76,2.34,4.11,8.69
Chor Machaye Shor,30-Aug-02,1,2.97,4.78,7.66
Maine Dil Tujhko Diya,23-Aug-02,0.85,2.46,3.86,6.4
Jaani Dushman,16-Aug-02,1.35,4.02,6.47,10.73
Mujhse Dosti Karoge,09-Aug-02,1.16,3.58,6.28,12.95
Yeh Hai Jalwa,26-Jul-02,0.87,2.45,3.7,5.49
Om Jai Jagadish,19-Jul-02,0.79,2.34,3.71,6.16
Devdas,12-Jul-02,2.09,6.15,11.78,41.66
Humraaz,05-Jul-02,1.55,4.48,7.7,16.59
Kyaa Dil Ne Kahaa,28-Jun-02,0.7,1.96,3,4.24
Awara Paagal Deewana,21-Jun-02,1.53,4.43,7.66,16.02
Badhaai Ho Badhaai,14-Jun-02,0.63,1.79,2.72,3.79
Rishtey,12-Jun-02,0.68,2.02,3.44,6
The Legend Of Bhagat Singh,07-Jun-02,0.59,1.84,3.3,7.45
Mere Yaar Ki Shaadi Hai,07-Jun-02,0.52,1.61,3.04,8.34
23rd March 1931 Shaheed,07-Jun-02,1.21,3.26,5.08,7.6
Hum Kisi Se Kum Nahin,31-May-02,1.63,4.64,7.38,19
Hum Tumhare Hain Sanam,24-May-02,1.42,4.14,6.84,13.52
Ab Ke Baras,10-May-02,0.4,1.13,1.87,3.09
Na Tum Jaano Na Hum,10-May-02,0.81,2.46,4.34,8.14
Tum Se Achcha Kaun Hai,26-Apr-02,0.2,0.62,1.02,1.88
Aap Mujhe Achche Lagne Lage,19-Apr-02,1.09,3.24,5.3,9.59
Company,12-Apr-02,1.18,3.47,6.01,13.83
Aankhen,05-Apr-02,1.2,3.63,6.67,17.48
44181,22-Mar-02,0.52,1.57,2.79,6.37
Kya Yehi Pyaar Hai,22-Mar-02,0.6,1.8,3.12,7.58
Kranti,15-Mar-02,0.82,2.31,3.78,6.19
Tumko Na Bhool Paayenge,22-Feb-02,1.28,3.61,5.99,10.53
