"","�..Movie.Name","Release.Date","Opening.Day","Opening.Weekend","End.of.Week.1","Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.","�..imdbId","Column1","releaseYear","releaseDate","genre","writers","actors","directors","sequel","FirstWeekIMDBRating"
"1","1920","12-Sep-08","0.89","3.25","5.84","10.48","tt1301698","#N/A",2008,"12-Sep-08","Drama | Horror | Mystery","Vikram Bhatt (screenplay) | Vikram Bhatt (story) | Girish Dhamija (dialogue) | Dheeraj Rattan (screenplay) | Sameer (lyrics)","Rajneesh Duggal | Adah Sharma | Anjori Alagh | Rajendranath Zutshi","Vikram Bhatt","0",4
"2","2 States","18-Apr-14","12.42","38.06","60.73","102.13","tt2372678","#N/A",2014,"18-Apr-14","Drama | Romance","Chetan Bhagat (story) | Abhishek Varman (screenplay) | Hussain Dalal (dialogue)","Arjun Kapoor | Alia Bhatt | Amrita Singh | Revathy","Abhishek Varman","0",7
"3","3 Bachelors","06-Jul-12","N.A.","N.A.","0.15","0.17","tt2224254","#N/A",2012,"29-Jun-12","Comedy | Romance","Raghuvir Shekhawat | Ajai Sinha","Sharman Joshi | Negar Khan | Nigaar Khan | Manish Nagpal","Ajai Sinha","0",1
"4","3 Idiots","25-12-2009","12.78","40.65","79.07","202.95","tt1187043","#N/A",2009,"25-Dec-09","Comedy | Drama","Rajkumar Hirani | Abhijit Joshi | Vidhu Vinod Chopra (screenplay)","Aamir Khan | Kareena Kapoor | Madhavan | Sharman Joshi","Rajkumar Hirani","0",9
"5","36 China Town","05-May-06","2.57","7.55","11.93","23.05","tt0477252","#N/A",2006,"21-Apr-06","Comedy | Mystery | Thriller","Shyam Goel (story) | Jitendra Parmar (dialogue) | Anurag Prapanna (dialogue)","Akshaye Khanna | Kareena Kapoor | Shahid Kapoor | Paresh Rawal","Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla","0",5
"6","7 Khoon Maaf","18-02-2011","3.3","11.53","15.5","17.69","tt1629376","#N/A",2011,"18-Feb-11","Drama | Mystery | Thriller","Ruskin Bond (short story) | Matthew Robbins (screenplay) | Vishal Bhardwaj (screenplay) | Gulzar (lyrics) | Ajinkya Iyer (lyrics)","Priyanka Chopra | Vivaan Shah | Manuj Bhaskar | Sanjay Verma","Vishal Bhardwaj","0",2
"7","9 Eleven","07-10-2011","N.A.","N.A.","0.02","0.03","tt1806740","#N/A",2011,"N/A","Thriller","Manan Katohora","Kashmira Shah | Devasish Ray | Jyoti Singh | Sonny Chatrath","Manan Katohora","0",1
"8","99","15-05-2009","0.76","2.97","4.56","10.78","tt1370429","#N/A",2009,"15-May-09","Comedy | Crime | Drama","Raj Nidimoru (story) | Krishna D.K. (story) | Sita Menon (story) | Chintan Gandhi (Hindi dialogue) | Raja Sen (Hindi dialogue) | Sita Menon (Hindi dialogue) | Shabbir Ahmed (lyrics) | Vaibhav Modi (lyrics)","Kunal Khemu | Boman Irani | Soha Ali Khan | Cyrus Broacha","Krishna D.K. | Raj Nidimoru","0",4
"9","A Flat","12-11-2010","N.A.","N.A.","N.A.","0.37","tt0988655","#N/A",2010,"12-Nov-10","Drama | Horror | Romance","Hemant Madhukar (screenplay) | Hemant Madhukar (story) | Ajay Monga (screenplay)","Jimmy Shergill | Sanjay Suri | Hazel Croney | Kaveri Jha","Hemant Madhukar","0",1
"10","A Strange Love Story","03-06-2011","N.A.","N.A.","0.05","0.06","tt1918650","#N/A",2011,"20-May-11","Drama","Bobby Khan","Gunjan Bakshi | Snehal Dabi | Milind Gunaji | Ehsan Khan","Tarique Khan | Sahil Seth","0",1
"11","Aa Dekhen Zara","27-03-2009","0.85","2.85","4.23","6.16","tt1372681","#N/A",2009,"27-Mar-09","Action | Crime | Drama","Sheershak Anand (story) | Shantanu Ray Chhibber (story)","Neil Nitin Mukesh | Bipasha Basu | Biswajeet Chatterjee | Sophiya Chaudhary","Jehangir Surti","0",1
"12","Aagey Se Right","04-09-2009","0.52","1.71","2.57","3.04","tt1479667","#N/A",2009,"04-Sep-09","Comedy | Crime | Drama","Abhijeet Deshpande (additional dialogue) | Hitesh Kewalya (lyrics) | Jabbar Patel | Dheeraj Rattan (additional screenplay) | Manoj Santoshi (additional dialogue)","Shreyas Talpade | Bharati Achrekar | Shaukat Baig | Rakesh Bedi","Indrajit Nattooji","0",2
"13","Aaja Nachle","30-Nov-07","1.85","6.16","9.03","14.07","tt0986213","#N/A",2007,"30-Nov-07","Drama | Musical","Aditya Chopra (story) | Jaideep Sahni (screenplay)","Madhuri Dixit | Darshan Jariwala | Raghuvir Yadav | Divya Dutta","Anil Mehta","0",2
"14","Aakrosh","15-10-2010","0N.A","7.73","12.35","13.64","tt1708453","#N/A",2010,"15-Oct-10","Action | Crime | Drama","Robin Bhatt (story) | Aditya Dhar (dialogues) | Irshad Kamil (lyrics) | Akash Khurana (story)","Ajay Devgn | Akshaye Khanna | Bipasha Basu | Jaideep Ahlawat","Priyadarshan","0",1
"15","Aalaap","27-Jul-12","N.A.","N.A.","0.07","0.08","tt2243336","#N/A",2012,"27-Jul-12","Sci-Fi","Dilip Shukla","Omkar Das Manikpuri | Ashish Patil | Pitobash | Amit Purohit","Manish Manikpuri","0",1
