Column1,�..Movie.Name,Release.Date,Opening.Day,Opening.Weekend,End.of.Week.1,Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.,�..imdbId,releaseYear,releaseDate,genre,writers,actors,directors,sequel,FirstWeekIMDBRating
201,Ebn-e-Batuta,04-Apr-14,0.0012,0.00408,0.01,0.01,tt3498078,2014,14-Apr-14,Sci-Fi,Abhishek Bhola (dialogue) | Varun Middha (dialogue) | Varun Middha (screenplay) | Varun Middha (story),Omkar Das Manikpuri | Rajeev Verma | Dev Gohar | Satya Khare,Varun Middha,0,1
229,Gangoobai,11-Jan-13,0.0012,0.0026928,0.0066,0.01,tt2624852,2013,11-Jan-13,Drama | Family,Priya Krishnaswamy | Rayomand J. Patell (additional screenplay writer) | Abhay Tiwari (dialogue),Sarita Joshi | Purab Kohli | Mita Vasisht | Rajendranath Zutshi,Priya Krishnaswamy,0,1
254,Hansa,28-Dec-12,0.0012,0.00408,0.01,0.01,tt2182726,2012,N/A,Drama,N/A,Trimala Adhikari | Abhay Joshi | Ashish Kumar | Kumud Mishra,Manav Kaul,0,1
268,Hello Zindagi,05-03-2010,0.0012,0.0026928,0.0066,0.01,tt1625331,2010,05-Mar-10,Drama | Family,Vivek Gupta (dialogue) | Vivek Gupta (screenplay) | Raja Unnithan (story) | Raja Unnithan,Kitu Gidwani | Milind Gunaji | Neena Gupta | Mrunmayee Lagoo,Raja Unnithan,0,1
337,Kajraare,15-10-2010,0.0012,0.0026928,0.0066,0.01,tt1633212,2010,15-Oct-10,Crime | Drama | Romance,Mahesh Bhatt | Shagufta Rafique (dialogue) | Sameer (lyrics),Himesh Reshammiya | Sara Loren | Amrita Singh | Gulshan Grover,Pooja Bhatt,0,1
462,Myoho,14-Dec-12,0.0012,0.0026928,0.0066,0.01,tt2210576,2012,14-Dec-12,Drama,Ranjan Shandilya,Kanwaljit Singh | Yashpal Sharma | Malay Chakrabarty | Brijendra Kala,Ranjan Shandilya,0,1
490,Ooops a Desi,23-Aug-13,0.0012,0.0026928,0.0066,0.01,tt3160450,2013,23-Aug-13,Thriller,C. Jenner Jose,BuAli Shah | Pragathi Yadhati | Adnan Khalid | C. Jenner Jose,C. Jenner Jose,0,1
491,Overtime,10-Aug-12,0.0012,0.0026928,0.0066,0.01,tt2404673,2012,29-Jun-12,Drama,Saajan Agarwal (dialogue) | Ajay Yadav (story),Frank M. Ahearn | Ramnita Chaudhry | Preeti Chauhan | Divya Dutta,Ajay Yadav,0,1
552,Riyasat,18-Jul-14,0.0012,0.00408,0.01,0.01,tt2283894,2014,18-Jul-14,Crime,N/A,Rajesh Khanna | Aryeman Ramsay | Raza Murad | Aryan Vaid,Ashok Tyagi,0,1
687,Ye Stupid Pyar,09-12-2011,0.0012,0.0026928,0.0066,0.01,tt1893409,2011,09-Dec-11,Romance,Rakesh Jain,Jatin Khurana | Noopur Patwardhan | Akansha | Sahil Vaid,Jain Rakesh,0,1
18,Aao Wish Karein,13-11-2009,0.0024,0.0053856,0.0132,0.02,tt1538210,2009,13-Nov-09,Comedy | Drama | Fantasy,Glen Barreto (additional screenplay) | Ravinder Manga (dialogue) | Ravinder Manga (story) | Aftab Shivdasani (story),Aftab Shivdasani | Aamna Shariff | Rati Agnihotri | Tiku Talsania,Glen Barreto,0,1
54,Angry Young Man,01-May-14,0.0024,0.00816,0.02,0.02,tt3617048,2014,11-Apr-14,Action,N/A,Ajay Sinh Rathod | Prachi Sinha,Ramesh Rout,0,1
87,Bhavnao Ko Samjho,15-01-2010,0.0024,0.0053856,0.0132,0.02,tt1620697,2010,15-Jan-10,Action | Comedy | Drama,Pancham Banjara (lyrics) | Sunil Pal,Madhu Acharya | Nitin Anand | Dinesh Bawara | Narendra Bedi,Sunil Pal,0,1
106,Bollywood Villa,11-Jul-14,0.0024,0.0053856,0.0132,0.02,tt3748000,2014,11-Jul-14,Thriller,N/A,Sonam Arora | Arun Bakshi | Piyush Bhalodiya | Deepak Bhatia,Chandersen Singh,0,1
294,Identity Card,29-Aug-14,0.0024,0.00408,0.01,0.02,tt2220828,2014,29-Aug-14,Comedy | Drama | Sci-Fi,Sanjay Amar,Tia Bajpai | Brijendra Kala | Prashaant Kumar | Vipin Sharma,Rahat Kazmi,0,1
